Date,r_label,c_label
2010-12-13,3.0962981113729425e-07,1.0
2010-12-14,0.0,0.0
2010-12-15,4.270762233324025e-07,1.0
2010-12-16,7.117954733136025e-08,0.0
2010-12-17,1.032100784665326e-06,1.0
2010-12-20,7.117954733136025e-08,0.0
2010-12-21,4.270762233324025e-07,1.0
2010-12-22,4.270762233324025e-07,0.5
2010-12-23,3.5589667600104224e-07,0.5
2010-12-24,9.609222979897248e-07,1.0
2010-12-27,1.5303565553290889e-06,1.0
2010-12-28,2.2065617246491316e-06,1.0
2010-12-29,2.2065617246491316e-06,0.5
2010-12-30,2.2065617246491316e-06,0.5
2010-12-31,2.0286123259928514e-06,0.0
2011-01-03,2.1674129205840958e-06,1.0
2011-01-04,2.170971420655572e-06,0.5
2011-01-05,2.1353811166620126e-06,0.5
2011-01-06,2.9183550766512163e-06,1.0
2011-01-07,3.153246840385674e-06,1.0
2011-01-10,3.153246840385674e-06,0.5
2011-01-11,2.8756477725147035e-06,0.0
2011-01-12,2.832939407722432e-06,0.5
2011-01-13,5.765531666626831e-06,1.0
2011-01-14,3.968251543641201e-06,0.0
2011-01-17,2.6692271913193347e-06,0.0
2011-01-18,2.6692271913193347e-06,0.5
2011-01-19,5.40963392997003e-06,1.0
2011-01-20,6.473767579213198e-06,1.0
2011-01-21,6.473767579213198e-06,0.5
2011-01-24,6.121428342627873e-06,0.0
2011-01-25,6.370556227959755e-06,1.0
2011-01-26,6.5200323227654285e-06,1.0
2011-01-27,7.40265807328084e-06,1.0
2011-01-28,1.0036297081918133e-05,1.0
2011-01-31,1.644244149255993e-05,1.0
2011-02-01,1.701187787121081e-05,1.0
2011-02-02,1.6086544816558887e-05,0.0
2011-02-03,2.0392900535843748e-05,1.0
2011-02-04,2.3204486821825805e-05,1.0
2011-02-07,2.420099836315333e-05,1.0
2011-02-08,3.0322426705781202e-05,1.0
2011-02-09,2.6418233466705373e-05,0.0
2011-02-10,2.9610633353779117e-05,1.0
2011-02-11,2.9610633353779117e-05,0.5
2011-02-14,2.8898835759153998e-05,0.0
2011-02-15,2.8720887421153478e-05,0.5
2011-02-16,2.8542943325775992e-05,0.5
2011-02-17,2.352123469376181e-05,0.0
2011-02-18,2.1229257300183895e-05,0.0
2011-02-21,2.249981046996667e-05,1.0
2011-02-22,2.3560381376515327e-05,1.0
2011-02-23,2.702682077073281e-05,1.0
2011-02-24,2.3955428977892925e-05,0.0
2011-02-25,2.2136794672511158e-05,0.0
2011-02-28,2.4279295971283403e-05,1.0
2011-03-01,2.4980408519792262e-05,1.0
2011-03-02,2.495193839790893e-05,0.5
2011-03-03,2.3595970619853128e-05,0.0
2011-03-04,2.3026536362513766e-05,0.0
2011-03-07,2.2492691348512202e-05,0.0
2011-03-08,2.229694732818702e-05,0.5
2011-03-09,2.4731283816427656e-05,1.0
2011-03-10,2.2848588024513243e-05,0.0
2011-03-11,2.3378873477787572e-05,1.0
2011-03-14,2.2492691348512202e-05,0.0
2011-03-15,2.2136794672511158e-05,0.5
2011-03-16,2.0905390306793417e-05,0.0
2011-03-17,2.0588640313545892e-05,0.5
2011-03-18,1.85422344265399e-05,0.0
2011-03-21,2.032171780654511e-05,1.0
2011-03-22,2.177021931432841e-05,1.0
2011-03-23,2.2382361936460048e-05,1.0
2011-03-24,2.2983827997721493e-05,1.0
2011-03-25,1.996582113054407e-05,0.0
2011-03-28,1.9734489988192606e-05,0.5
2011-03-29,1.963483713701064e-05,0.5
2011-03-30,1.9453329238282882e-05,0.5
2011-03-31,1.90796390012687e-05,0.5
2011-04-01,1.5730648140557846e-05,0.0
2011-04-04,1.679833816856097e-05,1.0
2011-04-05,1.7866030317875616e-05,1.0
2011-04-06,1.8357166967084907e-05,1.0
2011-04-07,1.822192699387666e-05,0.5
2011-04-08,1.8933720345878744e-05,1.0
2011-04-11,2.2136794672511158e-05,1.0
2011-04-12,2.4361151018829193e-05,1.0
2011-04-13,2.7119352379148788e-05,1.0
2011-04-14,2.6759898263732028e-05,0.5
2011-04-15,3.28848819244641e-05,1.0
2011-04-18,3.416611165511707e-05,1.0
2011-04-19,3.217309281508505e-05,0.0
2011-04-20,3.459319106041675e-05,1.0
2011-04-21,4.167553745841131e-05,1.0
2011-04-22,4.7013996083673015e-05,1.0
2011-04-25,5.54131678195929e-05,1.0
2011-04-26,5.915008291760384e-05,1.0
2011-04-27,7.021847972353154e-05,1.0
2011-04-28,9.40279953493133e-05,1.0
2011-04-29,0.00010541669746659272,1.0
2011-05-02,0.00011289053614786068,1.0
2011-05-03,0.00011274817917450948,0.5
2011-05-04,0.00011015013259117728,0.0
2011-05-05,0.00011431412285186486,1.0
2011-05-06,0.00012677051499714742,1.0
2011-05-09,0.00019830581475532548,1.0
2011-05-10,0.0001872730093140471,0.0
2011-05-11,0.0002157447603646226,1.0
2011-05-12,0.00028329402244273665,1.0
2011-05-13,0.00027745729319763056,0.0
2011-05-16,0.00024741960695494575,0.0
2011-05-17,0.00023638680151366736,0.0
2011-05-18,0.00023371758068628257,0.5
2011-05-19,0.0001904760709128104,0.0
2011-05-20,0.00024599602025094156,1.0
2011-05-23,0.0002556052389882158,1.0
2011-05-24,0.0002904831302068101,1.0
2011-05-25,0.00030464782300279917,1.0
2011-05-26,0.00029404211393731266,0.0
2011-05-27,0.00030471903118783607,1.0
2011-05-30,0.00030261923825385605,0.5
2011-05-31,0.00033212308372516236,1.0
2011-06-01,0.00036878046680900793,1.0
2011-06-02,0.0005001064845025757,1.0
2011-06-03,0.0006517185872724647,1.0
2011-06-06,0.0008428353144161763,1.0
2011-06-07,0.0010449848300306739,1.0
2011-06-08,0.0010207837542396503,0.0
2011-06-09,0.0008439030298999176,0.0
2011-06-10,0.0006976293348438139,0.0
2011-06-13,0.0006776991209877554,0.0
2011-06-14,0.0006851729257280392,1.0
2011-06-15,0.000596554577036565,0.0
2011-06-16,0.0005495761818634431,0.0
2011-06-17,0.0006147053329683563,1.0
2011-06-20,0.0006147053329683563,0.5
2011-06-21,0.0006147053329683563,0.5
2011-06-22,0.0006147053329683563,0.5
2011-06-23,0.0006147053329683563,0.5
2011-06-24,0.0005876571516512929,0.0
2011-06-27,0.000594775119112298,1.0
2011-06-28,0.0005912161353817954,0.5
2011-06-29,0.000564523859225979,0.0
2011-06-30,0.0005396110409944297,0.0
2011-07-01,0.0004848029019787927,0.0
2011-07-04,0.00045099269230295546,0.0
2011-07-05,0.0005175454301118729,1.0
2011-07-06,0.0005175454301118729,0.5
2011-07-07,0.0005008182948250699,0.0
2011-07-08,0.0004972593110945674,0.5
2011-07-11,0.0004901413436335623,0.0
2011-07-12,0.00048800594660706385,0.5
2011-07-13,0.0004894296011930366,1.0
2011-07-14,0.00048302341011354145,0.5
2011-07-15,0.00047127881132026097,0.0
2011-07-18,0.0004844469968175456,1.0
2011-07-19,0.00047875265000152893,0.5
2011-07-20,0.00047590551053450485,0.5
2011-07-21,0.0004791085891037603,1.0
2011-07-22,0.0004915649642785508,1.0
2011-07-25,0.00048551471230128695,0.5
2011-07-26,0.00048765010932778533,1.0
2011-07-27,0.0004716347164815081,0.0
2011-07-28,0.0004719906216427552,0.5
2011-07-29,0.0004573988494414664,0.0
2011-08-01,0.0004203855272553894,0.0
2011-08-02,0.00032109029525437613,0.0
2011-08-03,0.00037411894240476176,1.0
2011-08-04,0.00034030869878794027,0.0
2011-08-05,0.0002691293126762554,0.0
2011-08-08,0.0003470707610876983,1.0
2011-08-09,0.00034671488986743546,0.5
2011-08-10,0.00032827940301844956,0.0
2011-08-11,0.0003282437989259311,0.5
2011-08-12,0.00038835484338578774,1.0
2011-08-15,0.0003815927810860297,0.0
2011-08-16,0.00038123687592478265,0.5
2011-08-17,0.00037696611581277014,0.5
2011-08-18,0.00040614966021534774,1.0
2011-08-19,0.00037945738405953134,0.0
2011-08-22,0.00038088097076353553,1.0
2011-08-23,0.0003776778921942801,0.5
2011-08-24,0.00033521938395784684,0.0
2011-08-25,0.0002826178162127608,0.0
2011-08-26,0.0003107336790725814,1.0
2011-08-29,0.00030439873011910737,0.0
2011-08-30,0.0002833651966867892,0.0
2011-08-31,0.0002837211018480363,0.5
2011-09-01,0.00029902468437181936,1.0
2011-09-02,0.0002624028544690158,0.0
2011-09-05,0.0002357817695277441,0.0
2011-09-06,0.0002472772584668406,1.0
2011-09-07,0.0002239304093683848,0.0
2011-09-08,0.00017054585705675204,0.0
2011-09-09,0.00020784385924854713,1.0
2011-09-12,0.00019794990959407836,0.0
2011-09-13,0.00019150818230403332,0.0
2011-09-14,0.00016378381172748617,0.0
2011-09-15,0.00016307201837548408,0.5
2011-09-16,0.00018584942261004294,1.0
2011-09-19,0.00020905390624990146,1.0
2011-09-20,0.00019122346835733091,0.0
2011-09-21,0.00018471054985274115,0.0
2011-09-22,0.00018887454859867482,1.0
2011-09-23,0.0001648514932702432,0.0
2011-09-26,0.00016648863664738936,1.0
2011-09-27,0.00016136370075428536,0.0
2011-09-28,0.0001616128275789615,1.0
2011-09-29,0.00017446071200751743,1.0
2011-09-30,0.0001703323173541022,0.0
2011-10-03,0.00016805457183949866,0.5
2011-10-04,0.0001648514932702432,0.0
2011-10-05,0.0001600113052648259,0.0
2011-10-06,0.00014360445407625953,0.0
2011-10-07,0.00013744742376242474,0.0
2011-10-10,0.0001314327758776794,0.0
2011-10-11,0.00013922691562767603,1.0
2011-10-12,0.00013552558340906834,0.0
2011-10-13,0.00013346136911186857,0.0
2011-10-14,8.263928474678781e-05,0.0
2011-10-17,7.762113567550086e-05,0.0
2011-10-18,7.231827265751151e-05,0.0
2011-10-19,7.509427182146728e-05,1.0
2011-10-20,8.299518142278885e-05,1.0
2011-10-21,8.21054354901632e-05,0.5
2011-10-24,9.011312342805576e-05,1.0
2011-10-25,9.021989327938069e-05,0.5
2011-10-26,9.972234216532998e-05,1.0
2011-10-27,0.00010506079230534561,1.0
2011-10-28,0.0001071249981172993,1.0
2011-10-31,0.00010363720560134145,0.0
2011-11-01,0.00010733854630519521,1.0
2011-11-02,0.00010370838833064008,0.0
2011-11-03,0.00010217803177531099,0.0
2011-11-04,9.854788228600194e-05,0.0
2011-11-07,9.95443980699525e-05,1.0
2011-11-08,9.65192720813206e-05,0.0
2011-11-09,9.260440016006307e-05,0.0
2011-11-10,0.00010114592886933415,1.0
2011-11-11,7.05387892775063e-05,0.0
2011-11-14,7.441806559149149e-05,1.0
2011-11-15,8.263928474678781e-05,1.0
2011-11-16,7.160647930550943e-05,0.0
2011-11-17,6.448853730024252e-05,0.0
2011-11-18,7.31724229828648e-05,1.0
2011-11-21,7.441806559149149e-05,1.0
2011-11-22,7.45248354428164e-05,0.5
2011-11-23,7.808380220282682e-05,1.0
2011-11-24,8.071744439343139e-05,1.0
2011-11-25,8.228338807078677e-05,1.0
2011-11-28,8.940133007605368e-05,1.0
2011-11-29,9.723105694807662e-05,1.0
2011-11-30,0.00010043413551733206,1.0
2011-12-01,0.00010239157147796084,1.0
2011-12-02,9.40279953493133e-05,0.0
2011-12-05,9.936644548932894e-05,1.0
