Date,shangai,btc_cumulative,crude oil,euro,gold,silver,ftse,spy,hsi,nasdaq,nikkei,rates,MA4,MA96,MA200,stochRSI,RSI,btc_std_dev,std_dif,hashrate,difficulty,transactions,t_cost,returns,btc_close,returns_label
2014-09-22,-2.208686652244242,-0.6520994134538929,3.14628849065873,2.7925412930294073,-0.7035668942424996,-0.06317074188023107,-0.19463907911359393,-1.106056478006696,-0.6185123088522617,-1.0639609924854578,-1.424367570055226,0.8927528022931667,-0.6519634752787353,-0.6554371430745999,-0.6741703405780577,0.32941983871453623,-1.7352340627166298,3.3211703807790913,-0.6521002135875741,-0.8863124621140417,-0.8818686120540965,-1.4057484277997743,-0.48462125990783267,0.14682274362955602,-0.6520994134538929,0.04760662434015266
2014-09-23,-2.158879039845392,-0.6495647817366038,3.1495696168370744,2.8125043287723166,-0.6865503658580365,-0.05939883994844958,-0.3720397560601645,-1.1236142252787213,-0.6585814578405731,-1.070565087445497,-1.424367570055226,0.845246494323998,-0.6512080640881007,-0.6554371430745999,-0.6741703405780577,0.32941983871453623,-0.024930070064254455,7.87702728277684,-0.6495666196461003,-0.8861453961783085,-0.8818686120541018,-1.4053281345740682,-0.49944064397883736,2.071599077967542,-0.6495647817366038,1.5327010763171098
2014-09-24,-2.0739340110404174,-0.650513112330391,3.251282650933277,2.8174164884258084,-0.6962743083264125,-0.07825834960735926,-0.31709156661470855,-1.0999447923596186,-0.6299764035810356,-1.054391911429821,-1.4353263774897271,0.8973502340796665,-0.650905899611847,-0.6554371430745999,-0.6741703405780577,0.32941983871453623,-0.45416588201942604,6.323680214561814,-0.6505145964095332,-0.8861453961783085,-0.8818686120541018,-1.4056126087877336,-0.4533573052481305,-0.8049633594264078,-0.650513112330391,-1.4374878276368048
2014-09-25,-2.0701001589853667,-0.651389484237598,3.229135205682156,2.666943185854501,-0.6857402433941138,-0.1493859368255899,-0.43826916443524266,-1.1491887924756354,-0.681908151311577,-1.0851427377436738,-1.3764171860765213,0.808467040032,-0.6506792762546565,-0.6554371430745999,-0.6741703405780577,0.32941983871453623,-0.8065793847421658,5.0614917079816255,-0.6513906808152173,-0.8861453961783107,-0.8818686120540965,-1.4045464484580694,-0.5122134344112808,-0.7692333346534013,-0.6513894842375981,-1.4374878276368048
2014-09-26,-2.063539304318223,-0.6519281488365486,3.3119819207055823,2.62524419822811,-0.7145065149870211,-0.12298262330311613,-0.42062060450163097,-1.123492363662319,-0.7122664910565271,-1.0693485436370684,-1.4175386685134206,0.8452464943239976,-0.6506037351355931,-0.6554371430745999,-0.6741703405780577,0.32941983871453623,-1.0100598473033822,3.946394127606706,-0.6519290914013334,-0.8865426540960691,-0.8812177933515687,-1.4041995448637312,-0.5503648417216574,-0.5107106440977169,-0.6519281488365487,-1.4374878276368048
2014-09-27,-2.063539304318223,-0.6522977309870552,3.3119819207055823,2.62524419822811,-0.7145065149870211,-0.12298262330311613,-0.42062060450163097,-1.123492363662319,-0.7122664910565271,-1.0693485436370684,-1.4175386685134206,0.8452464943239976,-0.6512836052071642,-0.6554371430745999,-0.6741703405780577,0.32941983871453623,-1.1497170140751862,3.0128584049997347,-0.6522984608923292,-0.8861867553978953,-0.8812177933515687,-1.404436949594152,-0.49694739902441293,-0.37671906101380404,-0.6522977309870553,0.04760662434015266
2014-09-28,-2.063539304318223,-0.6539809305272659,3.3119819207055823,2.62524419822811,-0.7145065149870211,-0.12298262330311613,-0.42062060450163097,-1.123492363662319,-0.7122664910565271,-1.0693485436370684,-1.4175386685134206,0.8452464943239976,-0.6521900986359257,-0.6554371430745999,-0.6741703405780577,0.32941983871453623,-1.66308322940277,2.852636494155069,-0.6539816240419851,-0.8861867553979039,-0.8812177933515718,-1.4034974514146001,-0.5740297923843191,-1.4960280884946136,-0.6539809305272659,-1.4374878276368048
2014-09-29,-2.0384676637262293,-0.6541100762955627,3.3964688859127667,2.4588572003789753,-0.7007309710385101,-0.11247474173621183,-0.42571483267476545,-1.1311889945157123,-0.8642597548295406,-1.0715521715400587,-1.3945155147439074,0.7778177383676658,-0.6528699687074968,-0.6554371430745999,-0.6741703405780577,0.32941983871453623,-1.6978548794798778,2.1879563180460067,-0.6541106183871506,-0.8857661478455249,-0.8812177933515687,-1.403090186118089,-0.5635736694293139,-0.1828460141822114,-0.6541100762955628,0.04760662434015266
2014-09-30,-2.0230146489243728,-0.6532453073644048,3.116759606675285,2.4939396649687273,-0.7290921813994555,-0.2498804013865382,-0.4692005645182347,-1.1395868412961625,-0.9644937576838079,-1.0758830539205655,-1.433596537543433,0.8038696082455001,-0.6531721331837507,-0.6554371430745999,-0.6741703405780577,0.32941983871453623,-1.0427927484689197,2.1918172559220284,-0.6532458502779522,-0.8859926288352684,-0.8812177933515687,-1.4033799616728708,-0.5524915422010975,0.7147089321458352,-0.6532453073644049,1.5327010763171098
2014-10-01,-2.0230146489243728,-0.6534961418159159,3.0814882825216148,2.3699986434132145,-0.7124807142469538,-0.1949185486328855,-0.5878319366770671,-1.1794117756814453,-0.9644937576838079,-1.1006658910492102,-1.4596095450061222,0.6429609571919941,-0.6534742976600045,-0.6554371430745999,-0.6741703405780577,0.32941983871453623,-1.1431061413258858,1.6232416348259506,-0.6534965552096086,-0.8859926288352665,-0.8812177933515718,-1.402298213431107,-0.5610176105546739,-0.2866096472955266,-0.653496141815916,0.04760662434015266
