Date,shangai,btc,crude oil,dax,euro,gold,silver,spy,ftse,hsi,nasdaq,nikkei,rates,MA4,MA96,MA200,stochRSI,RSI,btc_std_dev,std_dif,conf_int,hashrate,difficulty,transactions,t_cost
2015-07-06,1.525361651329022,3329.57932249876,0.6863077887505022,1.0320791867699943,0.849730565559434,0.9925531631366449,0.896886020094273,1.9267406044992006,1.2694871012293802,1.2561018905628953,2.270890664652742,2.137685886710844,0.7685560481139005,260.0,246.0,283.0,86.59050577421674,76.13777782712998,3022.2266069117773,307.35271558698287,6.8300603463773975,417483.872021,49402014931.2,74747678.0,7.70886069026
2015-07-07,1.505653039591198,3294.641226498394,0.6836948158494055,1.0308911163027914,0.8538991964827561,0.9752052737848086,0.8526291474280122,1.9388573259146598,1.2493833769074665,1.2431125217103551,2.273401784772245,2.165796066725482,0.7526990407030563,262.0,246.0,282.0,66.41833376139961,70.46095176537668,3021.225655581846,273.4155709165484,6.073558833759506,363456.547407,49402014931.2,74949599.0,4.95550953096
2015-07-08,1.4168062880720633,3351.2996808053094,0.6748105684357393,1.0134653525777373,0.8508813428062343,0.9844292941490754,0.8638644901383268,1.9063286143536278,1.2607463515242003,1.1705052006665781,2.233505961272559,2.097883147271468,0.7442645410197009,266.0,246.0,282.0,79.38894105985587,74.11112297658087,3020.242557462648,331.05712334266127,7.351154962356318,378191.272302,49402014931.2,75150019.0,5.24773974653
2015-07-09,1.4984643946677296,3332.029793471371,0.6895740547161364,1.0354059049398583,0.8556008101044359,0.9807904272574751,0.875156833570723,1.9097771660735483,1.278402646960023,1.214118297593191,2.2392561042653565,2.1104102370720224,0.7763158328679332,269.0,247.0,281.0,67.40558093484223,70.7387815637757,3019.254543413397,312.7752500579736,6.942530420968554,338898.672582,49402014931.2,75337221.0,5.04916913281
2015-07-10,1.56652267942123,3525.916133015735,0.6890514900394751,1.0859405970809475,0.8549855758994778,0.9796902758807777,0.882171784076909,1.933824158421754,1.2962337384213083,1.239427715721651,2.2735110701414443,2.102367398676442,0.8154521141027581,273.0,247.0,281.0,100.0,80.89169431335894,3018.3303739458515,507.58575906988335,11.262316806287847,383102.847267,49402014931.2,75551708.0,5.26897779353
2015-07-13,1.6039243839135608,3614.5296654836693,0.6819963435922819,1.0827722832708067,0.8600857182103906,0.9775746796183586,0.880346727560258,1.955168258760842,1.3087815891889407,1.2554911911322009,2.307087889204189,2.135310381464461,0.8198380828958252,279.0,247.0,281.0,100.0,83.70872161240774,3017.4388858867273,597.090779596942,13.243162359430839,368157.891394,51076366303.5,76104631.0,6.00845181317
2015-07-14,1.5853817276181312,3557.7227779011323,0.6929709992303835,1.0843564024065973,0.849375686530159,0.9759669090993992,0.8723052201565822,1.9636498357536205,1.3118505255925887,1.2503595466164314,2.322273002404507,2.166725052653784,0.8093791971101495,283.0,248.0,280.0,70.43745482086106,75.66037951955555,3016.5274311670505,541.1953467340818,11.998820286642813,352923.77175,51076366303.5,76224338.0,8.57028920615
2015-07-15,1.5373962800675844,3537.4878854292438,0.6716749311794545,1.0800000181292535,0.8507314497167664,0.9708047715786177,0.8570776513004714,1.962997472394198,1.3118505255925887,1.2471167734693969,2.3195661903942226,2.175015551432038,0.7928474747699826,288.0,248.0,280.0,57.1467466509227,72.74001795648945,3015.6095683584094,521.8783170708343,11.566102383103093,391009.07086,51076366303.5,76346678.0,9.22269167893
2015-07-16,1.544454936048989,3441.6955456591495,0.6651423992481861,1.0899010082282634,0.8457506138292468,0.9679276433022067,0.8534275926571714,1.9787491960122903,1.3201445638056746,1.2524435268290701,2.3487898089172043,2.189554648297868,0.7935222701374227,286.0,248.0,280.0,0.0,60.01440903800437,3014.6600660509444,427.03547960820515,9.460523101121387,345306.711928,51076366303.5,76460490.0,8.30342600077
2015-07-17,1.5986582537455138,3458.8118285717214,0.6648810919902237,1.0853069041034955,0.8413036626703484,0.9577727812425952,0.8452149743072466,1.98042682369656,1.3159878706922965,1.265010888959445,2.3701524330988133,2.194954184386169,0.7925101173053213,283.0,248.0,279.0,6.0325990838746835,61.443791921298235,3013.7170136543937,445.09481491732777,9.856829996058952,365618.871453,51076366303.5,76578538.0,8.53411968013
