Date,shangai,btc,crude oil,dax,euro,gold,silver,spy,ftse,hsi,nasdaq,nikkei,rates,MA4,MA96,MA200,stochRSI,RSI,btc_std_dev,std_dif,conf_int,hashrate,difficulty,transactions,t_cost
2010-07-20,0.17993041053744707,1.2681699827856558e-06,0.7592372820458407,,0.5619294946227719,0.14060153696131153,0.16146977700781387,0.012872816121021964,0.06651668581380751,0.23747962395774222,0.010908819548752426,0.07454806463039337,0.7541847459884058,0.0,0.0,0.0,0.8912759449092158,0.0,0.0,4.054107044867662e-06,0.00011021070137198743,0.0,0.0,0.0,0.0
2010-07-21,0.18200265505379848,1.502027946478894e-06,0.7534309685407026,,0.5338377844195619,0.14070144261816736,0.16453636958349208,0.007287979852621619,0.09212102768957918,0.25065062372526925,0.007372462599737968,0.06681287284646072,0.7417855013525884,0.0,0.0,0.0,0.8912759449092158,0.48658929009284224,0.0,4.054107044867662e-06,0.00011021070137198743,1.3600945163296597e-12,0.0,7.949560520599178e-07,0.0
2010-07-22,0.1904010142308548,0.0,0.7715096533410244,,0.5641709641102528,0.14459873911497984,0.17313903005247908,0.0167544483671749,0.12594179879470313,0.25671248185394113,0.013262363749948393,0.0633522465174749,0.7541847459884057,0.0,0.0,0.0,0.8912759449092158,0.11183652232981169,3.113168121925165e-06,1.7007913929105968e-06,4.3580558654075724e-05,5.100354436236227e-13,0.0,1.5266575365365734e-06,0.0
2010-07-23,0.19339263697365483,6.340849913928279e-07,0.7693982803407294,,0.5664156456390346,0.13680414612135486,0.17262343669191985,0.020517289672419878,0.12553277523897485,0.27006037825144286,0.015634029892805826,0.0758976511642467,0.7734036047360536,0.0,0.0,0.0,0.8912759449092158,0.44656580737657164,2.4708208510081794e-06,2.5420306242439392e-06,5.546074669454218e-05,9.067296775321741e-13,0.0,2.1968140363376222e-06,0.0
2010-07-26,0.1985708951663647,2.877448135994646e-07,0.7693982803407294,,0.5857130544317839,0.13210748238476616,0.17531005026349547,0.025072261970801497,0.13865881891909446,0.27151448934761047,0.018345642052412584,0.08023910693784929,0.7734036047360536,0.0,0.0,0.0,0.8912759449092158,0.375808561467263,2.2840231544072047e-06,2.204349488107578e-06,4.450309490484401e-05,4.646989597627126e-12,0.0,7.63157809977521e-06,0.0
2010-07-27,0.19443103642360685,4.970139992772339e-07,0.7596331487524264,,0.5838928976948753,0.10712496892433902,0.15973298154348253,0.025032675063503203,0.14363652072610633,0.27941094231020713,0.017522910812078386,0.07983239980419211,0.7898326112690446,0.0,0.0,0.0,0.8912759449092158,0.44613159300396643,1.999317458306669e-06,2.498459245779521e-06,4.604223748086437e-05,3.25352444485159e-12,3.133914124667348e-12,8.392342493682014e-06,0.0
2010-07-28,0.21255573711521283,4.394650365573409e-07,0.7562681307291397,,0.584196167927657,0.1095233146135258,0.15435970263912646,0.02218084634934239,0.12795345554985926,0.2863791212524137,0.015140194704793275,0.09514509250750212,0.775573465156789,0.0,0.0,0.0,0.8912759449092158,0.4320632918662997,1.798837372235647e-06,2.480736904857329e-06,4.2748646684711265e-05,2.262486745400503e-12,3.133914124667348e-12,8.977019848100276e-06,0.0
2010-07-29,0.21704931964720864,1.0149544688593666e-06,0.7653074731293006,,0.6034630623280518,0.11751771892086246,0.15919021355042723,0.020041974813721823,0.12601005262370102,0.2865353356506671,0.013845728205301932,0.0917262799173795,0.7749535472681948,0.0,0.0,0.0,0.8912759449092158,0.5898152566761503,1.6810345855289836e-06,3.13884729155045e-06,4.991693593745652e-05,3.25352444485159e-12,3.133914124667348e-12,1.488362879405085e-05,0.0
2010-07-30,0.2137495928570873,6.382705972888538e-07,0.7692002966483337,,0.5946947249181028,0.13080834289085225,0.1696653873626117,0.01996274056109897,0.1069176254526175,0.282748638554545,0.01414847267514466,0.08224797424973429,0.7464352550436838,0.0,0.0,0.0,0.8912759449092158,0.5032156157006993,1.5232714887551835e-06,2.761295399316505e-06,4.206695492693147e-05,3.787160129181068e-12,3.133914124667348e-12,1.5502497806622226e-05,0.0
2010-08-02,0.22463563223686833,4.970139992772339e-07,0.7849696247559647,,0.6254395812354653,0.13250722699711875,0.18095471316437914,0.02982531990074049,0.15434188409534189,0.30540492574501066,0.018238039954363194,0.08421922669193083,0.7637942123148935,0.0,0.0,0.0,0.8912759449092158,0.46993244112309496,1.4118605114381689e-06,2.631550754191403e-06,3.835614141984407e-05,9.275984310828778e-12,3.133914124667348e-12,1.7266787367322946e-05,0.0
